,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,MAPA INTEGRAL DE LA CALIDAD DE VIDA,,,,,,,,,,,
,, v1.1,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,ETAPAS DE DESAROLLO,,,,,,,,,,,
,,AREA DE VIDA,,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10
,,,Riqueza,"Apenas sobreviviendo: Sin ahorros, dependiendo de ayuda externa para necesidades básicas.","Viviendo del cheque a cheque: Puede cubrir gastos mensuales pero sin ahorros, tiene deudas.","Ahorrador cauteloso: Acumuló de 1 a 2 meses de ahorros de emergencia, empezando a pagar deudas.","Libre de deudas: De 3 a 6 meses de ahorros de emergencia, sin deudas de alto interés.","Inversiones iniciales: De 6 a 12 meses de ahorros, invirtiendo más allá de solo una cuenta de ahorros.","Novato en inversiones: Más de un año de ahorros, expandiéndose a otras formas de inversión como bienes raíces.","Auto-sostenible: Más de dos años de ahorros, ingresos pasivos que cubren gastos esenciales.","Financieramente libre: Viviendo de inversiones, no necesita empleo, trabajo es una elección.","Riqueza y filantropía: Creciendo en riqueza, retribuyendo significativamente.","Creación de legado: Sostenimiento de riqueza, creando impacto generacional a través de filantropía y planeación de legado."
,,,Salud,"Baja energía: Fatiga frecuente, mala alimentación, sin ejercicio, enfermándose recurrentemente.","Afrontando: Empezó ejercicio y nutrición básica, aún se enferma a menudo.","Activo: Rara vez fatiga o enfermedad, ejercicio regular, equilibrando nutrición.","Energía moderada a alta: Casi nunca cansado o enfermo, rutina rigurosa de ejercicio, nutrición mayormente balanceada.","Alta energía: Niveles de energía consistentemente altos, estilo de vida activo, nutrición balanceada, casi nunca enfermo.","Salud holística: Nutrición balanceada, ejercicio y bienestar mental, consciente de todos los aspectos de salud.","Vitalidad: Niveles excepcionales de energía, comprometido con prácticas avanzadas de salud.","Rendimiento máximo: Consistentemente en la mejor condición física, casi nunca enfermo.",Bienestar holístico: Manteniendo estado óptimo y ayudando a otros. Recuperación rápida de enfermedades o lesiones.,Embajador de bienestar y salud de por vida: Influenciando positivamente a la comunidad o círculos sociales. Energía y salud elevadas sostenidas hasta etapas tardías de la vida.
,,,Felicidad,"Crisis / Modo de supervivencia: Comúnmente bajo estrés inmanejable, frecuentemente abrumado por emociones.",Luchando: Manejando estrés pero con altibajos emocionales frecuentes.,"Afrontamiento emocional: Desarrollando estrategias básicas de afrontamiento emocional, aprendiendo a relacionarse con emociones.","Estado estable: Mayormente estable emocionalmente, ocasional estrés, empezando a ser proactivo.",Resiliencia: Desarrollando buenas habilidades de manejo de estrés y recuperación emocional.,"Equilibrio interno y atención plena: Estados internos balanceados, creciendo en inteligencia emocional, práctica regular de atención plena.",Dominio emocional: Alta inteligencia emocional y control.,"Paz interior, claridad y enfoque: Altos niveles de claridad y enfoque mental, un estado de tranquilidad interior y libertad emocional.","Existencia alegre / Relaciones armoniosas: Sentido penetrante de alegría y paz, rara vez perturbado, paz y fortaleza emocional arraigadas, enriqueciendo emocionalmente a uno mismo y a otros.","Ser unificado: El bienestar emocional nutre y se extiende a todas las formas de vida, estados emocionales, cognitivos y espirituales armonizados."
